ds,water_area_km2,Rainfall,Average_Temperature,Max_Temperature,Average_Humidity,Max_Humidity,Average_Wind_Speed,Max_Wind_Speed,mean_ndwi,month,day_of_year,month_sin,month_cos,day_sin,day_cos,lag1,lag3,lag7,lag14,rolling_avg_7,rolling_std_7,expanding_mean,month_year,monthly_mean,monthly_max,y
2019-01-01,8.426005265501491,0.0,25.579166666666666,29.3,73.75,86,17.229166666666668,22.4,-0.3008774311386039,1,1,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,9.3937820854564,12.012617251455266,9.786751000842042,8.681406124893963,10.859244753807669,1.998538988946647,9.40637740763019,2019-01,9.918109158489388,10.776312853663304,2.1313227896545985
2019-01-06,10.776312853663304,0.0,25.3125,29.8,68.79166666666667,90,14.85,19.9,-0.4451259980273458,1,6,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,8.426005265501491,9.226035923243142,10.89280850758822,8.830790268517827,10.842602517532683,1.9986979498469915,9.440625793781019,2019-01,9.918109158489388,10.776312853663304,2.37735047206293
2019-01-11,9.863145255961337,0.0,26.08333333333333,30.6,70.29166666666667,84,15.479166666666666,21.9,-0.4111504243212796,1,11,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,10.776312853663304,9.3937820854564,14.14045770695562,8.420242457068827,10.231557881676355,1.3807377144190494,9.450931146517124,2019-01,9.918109158489388,10.776312853663304,2.2888051102382647
2019-01-26,10.4093704289309,0.3,27.64166666666667,33.2,73.75,92,13.125,17.4,-0.3982772834556045,1,26,0.49999999999999994,0.8660254037844387,0.4327755925504312,0.901501684131884,9.863145255961337,8.426005265501491,11.92300653645355,7.404431160935345,10.015324152030262,1.1748715806044345,9.473751129431738,2019-01,9.918109158489388,10.776312853663304,2.3427064042304595
2019-01-26,10.4093704289309,0.3,27.64166666666667,33.2,73.75,92,13.125,17.4,-0.3982772834556045,1,26,0.49999999999999994,0.8660254037844387,0.4327755925504312,0.901501684131884,10.4093704289309,10.776312853663304,12.012617251455266,9.66269044059388,9.78628889166964,0.8247052074712375,9.495509717792183,2019-01,9.918109158489388,10.776312853663304,2.3427064042304595
2019-01-31,9.6244507179484,0.0,27.5,33.1,65.41666666666667,89,18.525,24.6,-0.3609305732611435,1,31,0.49999999999999994,0.8660254037844387,0.5086709438521044,0.8609610158889943,10.4093704289309,9.863145255961337,9.226035923243142,8.376094273404949,9.843205290913247,0.7927235694851628,9.498440195068461,2019-01,9.918109158489388,10.776312853663304,2.2643068113193117
2019-02-10,10.341250225305172,12.2,26.445833333333336,30.2,84.0,97,8.383333333333333,14.2,-0.3572921899984276,2,41,0.8660254037844386,0.5000000000000001,0.6486295610349814,0.7611042586607747,9.6244507179484,10.4093704289309,9.3937820854564,9.287708901808791,9.978557882320215,0.7840375434006202,9.5171693068515,2019-02,9.761031846738804,10.341250225305172,2.336140774276291
2019-02-15,9.432684226755896,2.6,27.29583333333333,31.9,79.33333333333333,92,10.291666666666666,15.2,-0.3385704269953872,2,46,0.8660254037844386,0.5000000000000001,0.7116566222817746,0.702527474169157,10.341250225305172,10.4093704289309,8.426005265501491,9.786751000842042,10.122369162499416,0.48837755996617876,9.515332674675507,2019-02,9.761031846738804,10.341250225305172,2.244180704789183
2019-02-20,9.180588017375868,0.0,28.38333333333333,33.7,65.375,88,16.741666666666664,20.2,-0.3748739584564095,2,51,0.8660254037844386,0.5000000000000001,0.7694148268839378,0.6387494220515272,9.432684226755896,9.6244507179484,10.776312853663304,10.89280850758822,9.894408471601212,0.5044175988875268,9.508210447924451,2019-02,9.761031846738804,10.341250225305172,2.2170912578506505
2019-02-25,10.089604917518283,0.2,27.412500000000005,32.3,75.29166666666667,89,10.0125,16.4,-0.432561265723192,2,56,0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871,9.180588017375868,10.341250225305172,9.863145255961337,14.14045770695562,9.92675985182363,0.5093166444094794,9.520322832707656,2019-02,9.761031846738804,10.341250225305172,2.311505678744465
2019-03-22,10.994863048690494,0.2,28.0125,31.4,81.25,98,5.9875,14.4,-0.2464265204391563,3,81,1.0,6.123233995736766e-17,0.9844738167520922,0.1755314904214282,10.089604917518283,9.432684226755896,10.4093704289309,11.92300653645355,10.010401654646431,0.6344788514206583,9.550415490176693,2019-03,10.25122024154567,10.994863048690494,2.397428169057902
2019-03-27,9.507577434400847,0.0,28.0875,33.3,74.33333333333333,93,8.945833333333333,19.1,-0.3888029702913171,3,86,1.0,6.123233995736766e-17,0.995918996147179,0.09025161003104117,10.994863048690494,9.180588017375868,10.4093704289309,12.012617251455266,9.881574083999281,0.6315141579700928,9.549558729061177,2019-03,10.25122024154567,10.994863048690494,2.252089106398551
2019-04-01,9.752532028670007,0.0,28.71666666666667,32.4,72.625,93,10.954166666666666,17.9,-0.3343859001627506,4,91,0.8660254037844387,-0.49999999999999983,0.9999907397361901,0.004303538296244289,9.507577434400847,10.089604917518283,9.6244507179484,9.226035923243142,9.899871414102366,0.6246407862326439,9.553538597680959,2019-04,10.528411935535384,11.035261573011448,2.2775269475683624
